"depletion_order","depletion_req","temp_bins","pe_bins"
8,1,26.5,135
7,1,27,139.5
16,1,27.5,143.7
6,1,28,147.8
15,1.02,28.5,151.7
24,1.03,29,155.4
5,1.05,29.5,158.9
14,1.07,30,162.1
23,1.09,30.5,165.2
32,1.11,31,168
4,1.13,31.5,170.7
13,1.15,32,173.1
22,1.17,32.5,175.3
31,1.19,33,177.2
40,1.21,33.5,179
3,1.23,34,180.5
12,1.26,34.5,181.8
21,1.28,35,182.9
30,1.31,35.5,183.7
39,1.34,36,184.3
48,1.37,36.5,184.7
2,1.4,37,184.9
11,1.43,37.5,185
20,1.46,38,185
29,1.49,NA,NA
38,1.53,NA,NA
47,1.57,NA,NA
56,1.61,NA,NA
1,1.65,NA,NA
10,1.69,NA,NA
19,1.74,NA,NA
28,1.78,NA,NA
37,1.84,NA,NA
46,1.89,NA,NA
55,1.95,NA,NA
64,2.01,NA,NA
9,2.07,NA,NA
18,2.14,NA,NA
27,2.22,NA,NA
36,2.3,NA,NA
45,2.38,NA,NA
54,2.47,NA,NA
63,2.57,NA,NA
17,2.68,NA,NA
26,2.8,NA,NA
35,2.93,NA,NA
44,3.07,NA,NA
53,3.22,NA,NA
62,3.39,NA,NA
25,3.58,NA,NA
34,3.8,NA,NA
43,4.03,NA,NA
52,4.31,NA,NA
61,4.62,NA,NA
33,4.98,NA,NA
42,5,NA,NA
51,5,NA,NA
60,5,NA,NA
41,5,NA,NA
50,5,NA,NA
59,5,NA,NA
49,5,NA,NA
58,5,NA,NA
57,5,NA,NA
